                             h                             v                             m                             t
                          1.29                        2.5784                     5.079e+05                             1
                         5.174                        5.1981                     5.058e+05                             2
                        11.703                        7.8695                     5.037e+05                             3
                         20.93                        10.593                     5.016e+05                             4
                        32.907                        13.369                     4.995e+05                             5
                        47.686                        16.198                     4.974e+05                             6
                         65.32                         19.08                     4.953e+05                             7
                        85.864                        22.016                     4.932e+05                             8
                        109.37                        25.006                     4.911e+05                             9
                        135.89                        28.051                      4.89e+05                            10
                        165.49                        31.151                     4.869e+05                            11
                        198.21                        34.306                     4.848e+05                            12
                        234.12                        37.517                     4.827e+05                            13
                        273.27                        40.785                     4.806e+05                            14
                        315.71                        44.109                     4.785e+05                            15
                         361.5                        47.491                     4.764e+05                            16
                        410.71                         50.93                     4.743e+05                            17
                        463.38                        54.428                     4.722e+05                            18
                        519.59                        57.985                     4.701e+05                            19
                        579.37                          61.6                      4.68e+05                            20
                        642.81                        65.275                     4.659e+05                            21
                        709.94                        69.011                     4.638e+05                            22
                        780.85                        72.807                     4.617e+05                            23
                        855.58                        76.664                     4.596e+05                            24
                         934.2                        80.582                     4.575e+05                            25
                        1016.8                        84.563                     4.554e+05                            26
                        1103.3                        88.606                     4.533e+05                            27
                          1194                        92.713                     4.512e+05                            28
                        1288.8                        96.883                     4.491e+05                            29
                        1387.8                        101.12                      4.47e+05                            30
                          1491                        105.42                     4.449e+05                            31
                        1598.6                        109.78                     4.428e+05                            32
                        1710.6                        114.21                     4.407e+05                            33
                        1827.1                        118.71                     4.386e+05                            34
                        1948.1                        123.27                     4.365e+05                            35
                        2073.6                         127.9                     4.344e+05                            36
                        2203.9                         132.6                     4.323e+05                            37
                        2338.8                        137.36                     4.302e+05                            38
                        2478.6                         142.2                     4.281e+05                            39
                        2623.3                         147.1                      4.26e+05                            40
                        2772.8                        152.08                     4.239e+05                            41
                        2927.4                        157.12                     4.218e+05                            42
                        3087.1                        162.24                     4.197e+05                            43
                        3251.9                        167.43                     4.176e+05                            44
                          3422                        172.69                     4.155e+05                            45
                        3597.3                        178.02                     4.134e+05                            46
                        3778.1                        183.43                     4.113e+05                            47
                        3964.2                        188.91                     4.092e+05                            48
                        4155.9                        194.47                     4.071e+05                            49
                        4353.2                         200.1                      4.05e+05                            50
                        4556.1                        205.81                     4.029e+05                            51
                        4764.8                        211.59                     4.008e+05                            52
                        4979.3                        217.45                     3.987e+05                            53
                        5199.8                        223.39                     3.966e+05                            54
                        5426.2                        229.41                     3.945e+05                            55
                        5658.6                        235.51                     3.924e+05                            56
                        5897.2                        241.68                     3.903e+05                            57
                          6142                        247.94                     3.882e+05                            58
                        6393.1                        254.28                     3.861e+05                            59
                        6650.6                         260.7                      3.84e+05                            60
                        6914.5                         267.2                     3.819e+05                            61
                          7185                        273.78                     3.798e+05                            62
                        7462.1                        280.45                     3.777e+05                            63
                        7745.9                         287.2                     3.756e+05                            64
                        8036.5                        294.04                     3.735e+05                            65
                          8334                        300.96                     3.714e+05                            66
                        8638.5                        307.97                     3.693e+05                            67
                          8950                        315.06                     3.672e+05                            68
                        9268.6                        322.25                     3.651e+05                            69
                        9594.5                        329.52                      3.63e+05                            70
                        9927.7                        336.88                     3.609e+05                            71
                         10268                        344.33                     3.588e+05                            72
                         10616                        351.87                     3.567e+05                            73
                         10972                         359.5                     3.546e+05                            74
                         11335                        367.22                     3.525e+05                            75
                         11707                        375.04                     3.504e+05                            76
                         12086                        382.94                     3.483e+05                            77
                         12472                        390.94                     3.462e+05                            78
                         12867                        399.04                     3.441e+05                            79
                         13271                        407.23                      3.42e+05                            80
                         13682                        415.52                     3.399e+05                            81
                         14102                         423.9                     3.378e+05                            82
                         14530                        432.38                     3.357e+05                            83
                         14966                        440.96                     3.336e+05                            84
                         15412                        449.63                     3.315e+05                            85
                         15866                        458.41                     3.294e+05                            86
                         16329                        467.28                     3.273e+05                            87
                         16800                        476.26                     3.252e+05                            88
                         17281                        485.34                     3.231e+05                            89
                         17771                        494.52                      3.21e+05                            90
                         18270                         503.8                     3.189e+05                            91
                         18779                        513.19                     3.168e+05                            92
                         19297                        522.67                     3.147e+05                            93
                         19824                        532.27                     3.126e+05                            94
                         20361                        541.97                     3.105e+05                            95
                         20908                        551.77                     3.084e+05                            96
                         21465                        561.69                     3.063e+05                            97
                         22031                        571.71                     3.042e+05                            98
                         22608                        581.84                     3.021e+05                            99
                         23195                        592.07                         3e+05                           100
                         23792                        602.42                     2.979e+05                           101
                         24400                        612.88                     2.958e+05                           102
                         25018                        623.44                     2.937e+05                           103
                         25647                        634.12                     2.916e+05                           104
                         26286                        644.92                     2.895e+05                           105
                         26937                        655.82                     2.874e+05                           106
                         27598                        666.84                     2.853e+05                           107
                         28271                        677.97                     2.832e+05                           108
                         28954                        689.21                     2.811e+05                           109
                         29649                        700.57                      2.79e+05                           110
                         30355                        712.05                     2.769e+05                           111
                         31073                        723.64                     2.748e+05                           112
                         31803                        735.35                     2.727e+05                           113
                         32544                        747.18                     2.706e+05                           114
                         33297                        759.12                     2.685e+05                           115
                         34062                        771.19                     2.664e+05                           116
                         34839                        783.37                     2.643e+05                           117
                         35629                        795.67                     2.622e+05                           118
                         36431                        808.09                     2.601e+05                           119
                         37245                        820.64                      2.58e+05                           120
                         38072                         833.3                     2.559e+05                           121
                         38912                        846.08                     2.538e+05                           122
                         39764                        858.99                     2.517e+05                           123
                         40630                        872.02                     2.496e+05                           124
                         41508                        885.17                     2.475e+05                           125
                         42400                        898.44                     2.454e+05                           126
                         43305                        911.83                     2.433e+05                           127
                         44224                        925.35                     2.412e+05                           128
                         45156                           939                     2.391e+05                           129
                         46102                        952.76                      2.37e+05                           130
                         47062                        966.65                     2.349e+05                           131
                         48035                        980.67                     2.328e+05                           132
                         49023                        994.81                     2.307e+05                           133
                         50025                        1009.1                     2.286e+05                           134
                         51041                        1023.5                     2.265e+05                           135
                         52072                          1038                     2.244e+05                           136
                         53117                        1052.6                     2.223e+05                           137
                         54177                        1067.4                     2.202e+05                           138
                         55252                        1082.3                     2.181e+05                           139
                         56342                        1097.3                      2.16e+05                           140
                         57447                        1112.4                     2.139e+05                           141
                         58567                        1127.7                     2.118e+05                           142
                         59702                          1143                     2.097e+05                           143
                         60853                        1158.5                     2.076e+05                           144
                         62019                        1174.2                     2.055e+05                           145
                         63201                        1189.9                     2.034e+05                           146
                         64399                        1205.8                     2.013e+05                           147
                         65613                        1221.8                     1.992e+05                           148
                         66843                        1237.9                     1.971e+05                           149
                         68089                        1254.2                      1.95e+05                           150
                         69351                        1270.5                     1.929e+05                           151
                         70630                          1287                     1.908e+05                           152
                         71925                        1303.6                     1.887e+05                           153
                         73237                        1320.3                     1.866e+05                           154
                         74566                        1337.1                     1.845e+05                           155
                         75911                        1354.1                     1.824e+05                           156
                         77274                        1371.1                     1.803e+05                           157
                         78653                        1388.3                     1.782e+05                           158
                         80050                        1405.6                     1.761e+05                           159
                         81465                          1423                      1.74e+05                           160
                         82896                        1440.5                     1.719e+05                           161
                         84346                        1458.1                     1.698e+05                           162
                         85813                        1475.8                     1.677e+05                           163
                         87297                        1493.7                     1.656e+05                           164
                         88800                        1511.6                     1.635e+05                           165
                         90321                        1529.6                     1.614e+05                           166
                         91859                        1547.8                     1.593e+05                           167
                         93416                          1566                     1.572e+05                           168
                         94991                        1584.3                     1.551e+05                           169
                         96585                        1602.7                      1.53e+05                           170
                         98197                        1621.2                     1.509e+05                           171
                         99827                        1639.8                     1.488e+05                           172
                    1.0148e+05                        1658.5                     1.467e+05                           173
                    1.0314e+05                        1677.3                     1.446e+05                           174
                    1.0483e+05                        1696.1                     1.425e+05                           175
                    1.0654e+05                          1715                     1.404e+05                           176
                    1.0826e+05                          1734                     1.383e+05                           177
                       1.1e+05                        1753.1                     1.362e+05                           178
                    1.1177e+05                        1772.2                     1.341e+05                           179
                    1.1355e+05                        1791.4                      1.32e+05                           180
                    1.1535e+05                        1810.7                     1.299e+05                           181
                    1.1716e+05                        1801.1                    1.0972e+05                           182
                    1.1895e+05                        1791.5                    1.0943e+05                           183
                    1.2074e+05                          1782                    1.0914e+05                           184
                    1.2252e+05                        1772.7                    1.0886e+05                           185
                    1.2428e+05                        1763.3                    1.0858e+05                           186
                    1.2604e+05                        1754.1                    1.0829e+05                           187
                    1.2779e+05                          1745                      1.08e+05                           188
                    1.2953e+05                        1735.9                    1.0772e+05                           189
                    1.3126e+05                        1726.9                    1.0744e+05                           190
                    1.3299e+05                        1717.9                    1.0715e+05                           191
                     1.347e+05                        1709.1                    1.0686e+05                           192
                    1.3641e+05                        1700.3                    1.0658e+05                           193
                     1.381e+05                        1691.6                     1.063e+05                           194
                    1.3979e+05                          1683                    1.0601e+05                           195
                    1.4147e+05                        1674.4                    1.0572e+05                           196
                    1.4314e+05                          1666                    1.0544e+05                           197
                     1.448e+05                        1657.6                    1.0516e+05                           198
                    1.4645e+05                        1649.2                    1.0487e+05                           199
                     1.481e+05                        1640.9                    1.0458e+05                           200
                    1.4973e+05                        1632.8                     1.043e+05                           201
                    1.5136e+05                        1624.6                    1.0402e+05                           202
                    1.5298e+05                        1616.6                    1.0373e+05                           203
                     1.546e+05                        1608.6                    1.0344e+05                           204
                     1.562e+05                        1600.7                    1.0316e+05                           205
                     1.578e+05                        1592.8                    1.0288e+05                           206
                    1.5939e+05                          1585                    1.0259e+05                           207
                    1.6097e+05                        1577.3                     1.023e+05                           208
                    1.6254e+05                        1569.7                    1.0202e+05                           209
                    1.6411e+05                        1562.1                    1.0174e+05                           210
                    1.6567e+05                        1554.6                    1.0145e+05                           211
                    1.6722e+05                        1547.1                    1.0116e+05                           212
